text,label,Preprocessed
"The 10 MW lithium-ion ESS captures excess solar energy produced during the day and releases the energy in late afternoon and early evening, when demand is highest.",1,"['10', 'mw', 'lithium-ion', 'es', 'capture', 'excess', 'solar', 'energy', 'produced', 'day', 'release', 'energy', 'late', 'afternoon', 'early', 'evening', 'demand', 'highest']"
"As an example, our VOC products, we're starting that unit up and have very strong expectations that, that unit will fill very rapidly, as Chinese consumers are after environmental quality and health impacts that come with low VOC products.",0,"['example', 'voc', 'product', 'starting', 'unit', 'strong', 'expectation', 'unit', 'fill', 'rapidly', 'chinese', 'consumer', 'environmental', 'quality', 'health', 'impact', 'come', 'low', 'voc', 'product']"
10% to 12% is kind of where we've been for the last 3 or 4 years.,0,"['10', '12', 'kind', 'last', '3', '4', 'year']"
"In fact, we're planning for them to accelerate, and we're going to be implementing the Energy Bill in several steps beginning in the current quarter.",0,"['fact', 'planning', 'accelerate', 'going', 'implementing', 'energy', 'bill', 'several', 'step', 'beginning', 'current', 'quarter']"
"As we mentioned in the prepared remarks, we're running well ahead of our Structure to Win goals and now expect to be closer to the $55 million that we committed to the run rate, actually, within the calendar year.",0,"['mentioned', 'prepared', 'remark', 'running', 'well', 'ahead', 'structure', 'win', 'goal', 'expect', 'closer', '55', 'million', 'committed', 'run', 'rate', 'actually', 'within', 'calendar', 'year']"
One of the ways we delivered valued and generated human capital was issuing a new publication sharing winning strategies for building a sustainable staffing ecosystem.,0,"['one', 'way', 'delivered', 'valued', 'generated', 'human', 'capital', 'issuing', 'new', 'publication', 'sharing', 'winning', 'strategy', 'building', 'sustainable', 'staffing', 'ecosystem']"
"And the cost, again, to go global are a lot less.",0,"['cost', 'go', 'global', 'lot', 'le']"
"ENVIRONMENTAL MANAGEMENT CNH Industrial is committed to continuously improving the environmental performance of its production processes, by adopting both conventional and enhanced technologies and by acting responsibly to mitigate their environmental impact.",1,"['environmental', 'management', 'cnh', 'industrial', 'committed', 'continuously', 'improving', 'environmental', 'performance', 'production', 'process', 'adopting', 'conventional', 'enhanced', 'technology', 'acting', 'responsibly', 'mitigate', 'environmental', 'impact']"
"Right now, I think the one that is -- that gives us the most opportunity and the most concern is cyber.",0,"['right', 'think', 'one', 'give', 'u', 'opportunity', 'concern', 'cyber']"
"I think the important point is that if we were to maintain the production at Antelope, we would have been looking at putting in a $70 million truck shovel fleet, moving the dragline cost considerably less than that.",0,"['think', 'important', 'point', 'maintain', 'production', 'antelope', 'would', 'looking', 'putting', '70', 'million', 'truck', 'shovel', 'fleet', 'moving', 'dragline', 'cost', 'considerably', 'le']"
Hydro has also started working on several initiatives to reduce direct CO2 emission in primary aluminium production.,1,"['hydro', 'also', 'started', 'working', 'several', 'initiative', 'reduce', 'direct', 'co2', 'emission', 'primary', 'aluminium', 'production']"
"We've ordered 25, and we expect to continue to invest both through acquisition, as well as investment in hydrovacs because the oil sands is growing, and we think the capacity to transport is going to be resolved.",0,"['ordered', '25', 'expect', 'continue', 'invest', 'acquisition', 'well', 'investment', 'hydrovacs', 'oil', 'sand', 'growing', 'think', 'capacity', 'transport', 'going', 'resolved']"
We're currently just on the ethane side at about -- recurring 20% to hit that ATEX and get our gas and pipeline spec.,0,"['currently', 'ethane', 'side', 'recurring', '20', 'hit', 'atex', 'get', 'gas', 'pipeline', 'spec']"
"The initiatives combine investments with policy dialogue and technical assistance in a highly coordinated manner to increase economic resilience, foster integration and address common global and regional challenges such as climate change.",1,"['initiative', 'combine', 'investment', 'policy', 'dialogue', 'technical', 'assistance', 'highly', 'coordinated', 'manner', 'increase', 'economic', 'resilience', 'foster', 'integration', 'address', 'common', 'global', 'regional', 'challenge', 'climate', 'change']"
So we've had a primary focus on helping the OEMs meet their fuel economy/CO2 emissions requirements.,0,"['primary', 'focus', 'helping', 'oems', 'meet', 'fuel', 'economy/co2', 'emission', 'requirement']"
"Reduce water consumption by 1% in total (128,000 m3) Reduce chemical pollutant (PRTR) release to less than the average level of FY 2012-2014.",1,"['reduce', 'water', 'consumption', '1', 'total', '128,000', 'm3', 'reduce', 'chemical', 'pollutant', 'prtr', 'release', 'le', 'average', 'level', 'fy', '2012-2014']"
"Based on past LTPS experiences, AUO has invested and constructed the Gen 6 LTPS fab at Kunshan, China, and the fab has begun mass production in 2017.",0,"['based', 'past', 'ltps', 'experience', 'auo', 'invested', 'constructed', 'gen', '6', 'ltps', 'fab', 'kunshan', 'china', 'fab', 'begun', 'mass', 'production', '2017']"
"Interesting side note, okay, as of today, I'm not saying that's -- that, that we can make this comment in a year from now because I don't know, but we have dropped off our carbon steel processing operations either.",0,"['interesting', 'side', 'note', 'okay', 'today', 'saying', 'make', 'comment', 'year', ""n't"", 'know', 'dropped', 'carbon', 'steel', 'processing', 'operation', 'either']"
"So we believe that we are well-positioned going forward to ensure that we have continued supply and, importantly, continued supply at cost competitive levels that support our expanding business model.",0,"['believe', 'well-positioned', 'going', 'forward', 'ensure', 'continued', 'supply', 'importantly', 'continued', 'supply', 'cost', 'competitive', 'level', 'support', 'expanding', 'business', 'model']"
"In accordance with our sustainability strategy, we have already defined a number of indicators and targets relating to climate change.",1,"['accordance', 'sustainability', 'strategy', 'already', 'defined', 'number', 'indicator', 'target', 'relating', 'climate', 'change']"
"We will do this by setting, disclosing and implementing a strategy with targets; starting with, but not limited to, the energy and power sectors.",0,"['setting', 'disclosing', 'implementing', 'strategy', 'target', 'starting', 'limited', 'energy', 'power', 'sector']"
"Moreover, the NEOS company program also incorporated efficiency objectives, the achievement of which contributes to the increase in the recurring EPS.",0,"['moreover', 'neos', 'company', 'program', 'also', 'incorporated', 'efficiency', 'objective', 'achievement', 'contributes', 'increase', 'recurring', 'eps']"
"I'll answer the first easy part, and Mark can answer the second harder part.",0,"['answer', 'first', 'easy', 'part', 'mark', 'answer', 'second', 'harder', 'part']"
"Yes, I won't to comment on exactly where we sell those, other than it was not concentrated only there.",0,"['yes', 'wo', ""n't"", 'comment', 'exactly', 'sell', 'concentrated']"
"But just to summarize, yes, that business is continuing to grow.",0,"['summarize', 'yes', 'business', 'continuing', 'grow']"
"1,945 m 2 of photovoltaic panels, which produce 750 MWh a year;",1,"['1,945', '2', 'photovoltaic', 'panel', 'produce', '750', 'mwh', 'year']"
"Our goal was to get to 10% to 15%, we're there.",0,"['goal', 'get', '10', '15']"
"Ongoing socio-economic and environmental programs Compensation for those affected, the reconstruction of public infrastructure and the relocation of the impacted communities of Bento Rodrigues, Paracatu and Gesteira are key programs under the Framework Agreement.",0,"['ongoing', 'socio-economic', 'environmental', 'program', 'compensation', 'affected', 'reconstruction', 'public', 'infrastructure', 'relocation', 'impacted', 'community', 'bento', 'rodrigues', 'paracatu', 'gesteira', 'key', 'program', 'framework', 'agreement']"
"I think in the first half of the year in particular, we're going to try to be as close to cash flow neutral with CapEx as we can.",0,"['think', 'first', 'half', 'year', 'particular', 'going', 'try', 'close', 'cash', 'flow', 'neutral', 'capex']"
"RI, because it's a project-based business and quite lumpy, you'll see certain metrics jump around quarter to quarter.",0,"['ri', 'project-based', 'business', 'quite', 'lumpy', 'see', 'certain', 'metric', 'jump', 'around', 'quarter', 'quarter']"
"And as I mentioned my remarks, that could put some temporary pressure on the DNI margin.",0,"['mentioned', 'remark', 'could', 'put', 'temporary', 'pressure', 'dni', 'margin']"
"The plant operated under a capacity-based PPA contract with the state-owned entity Power Holding Company of Nigeria (“PHCN”), which expired in November 2014.",0,"['plant', 'operated', 'capacity-based', 'ppa', 'contract', 'state-owned', 'entity', 'power', 'holding', 'company', 'nigeria', 'phcn', 'expired', 'november', '2014']"
FINANCIAL RISK MANAGEMENT CONTINUED INTEREST RATE RISK The Company is exposed to interest rate risk from the possibility that changes in interest rates will affect future cash flows or the fair values of its financial instruments.,0,"['financial', 'risk', 'management', 'continued', 'interest', 'rate', 'risk', 'company', 'exposed', 'interest', 'rate', 'risk', 'possibility', 'change', 'interest', 'rate', 'affect', 'future', 'cash', 'flow', 'fair', 'value', 'financial', 'instrument']"
"Boy, did that cause some destruction and put some of our good customers down for some time.",0,"['boy', 'cause', 'destruction', 'put', 'good', 'customer', 'time']"
"Greater use of renewables has the added benefit of reducing our carbon footprint, which is one of Gold Fields’ key environmental priorities.",1,"['greater', 'use', 'renewables', 'added', 'benefit', 'reducing', 'carbon', 'footprint', 'one', 'gold', 'field', 'key', 'environmental', 'priority']"
"As you can see, we continue to make significant progress in deepening and advancing our HBV pipeline, in addition to completing several strategic initiatives to further focus Arbutus' resources and activities squarely on this mission.",0,"['see', 'continue', 'make', 'significant', 'progress', 'deepening', 'advancing', 'hbv', 'pipeline', 'addition', 'completing', 'several', 'strategic', 'initiative', 'focus', 'arbutus', 'resource', 'activity', 'squarely', 'mission']"
Trucost announced at the beginning of 2015 that the fund was 62% less carbon-intensive than its MSCI benchmark.,1,"['trucost', 'announced', 'beginning', '2015', 'fund', '62', 'le', 'carbon-intensive', 'msci', 'benchmark']"
"With the exception of coal combustion residuals (""CCR""), the wastes are not usually physically disposed of on our property, but are shipped off site for final disposal, treatment or recycling.",1,"['exception', 'coal', 'combustion', 'residual', 'ccr', 'waste', 'usually', 'physically', 'disposed', 'property', 'shipped', 'site', 'final', 'disposal', 'treatment', 'recycling']"
And so we feel very well positioned there and are focused more in the senior housing with memory care space than we are in independent living.,0,"['feel', 'well', 'positioned', 'focused', 'senior', 'housing', 'memory', 'care', 'space', 'independent', 'living']"
"We continue to see great success out of this product just based on the relaunch of the product, as well as our merchandising and marketing efforts with respect to our FlexFit adjustable base.",0,"['continue', 'see', 'great', 'success', 'product', 'based', 'relaunch', 'product', 'well', 'merchandising', 'marketing', 'effort', 'respect', 'flexfit', 'adjustable', 'base']"
"Energy storage is set to play a key role, and as costs continue to decline, revenues from “load shifting”, frequency response services and capacity markets is strengthening the economic case for battery storage provision.",0,"['energy', 'storage', 'set', 'play', 'key', 'role', 'cost', 'continue', 'decline', 'revenue', 'load', 'shifting', 'frequency', 'response', 'service', 'capacity', 'market', 'strengthening', 'economic', 'case', 'battery', 'storage', 'provision']"
Reduce water consumption and identify opportunities to install water efficient practices;,1,"['reduce', 'water', 'consumption', 'identify', 'opportunity', 'install', 'water', 'efficient', 'practice']"
The partnership is an example of how we work with our supply chain to reduce emissions.,1,"['partnership', 'example', 'work', 'supply', 'chain', 'reduce', 'emission']"
"We advocate for national climate policies that advance the Paris Agreement on Climate Change to limit global temperature increases to well below 2°C, and ideally no more than 1.5°C above pre-industrial levels.",1,"['advocate', 'national', 'climate', 'policy', 'advance', 'paris', 'agreement', 'climate', 'change', 'limit', 'global', 'temperature', 'increase', 'well', '2°c', 'ideally', '1.5°c', 'pre-industrial', 'level']"
"Over the past two decades, we have worked to reduce the role coal generation plays in our system, retiring or converting to natural gas approximately 2,500 MW of coal-fueled generation between 2000 and 2018.",1,"['past', 'two', 'decade', 'worked', 'reduce', 'role', 'coal', 'generation', 'play', 'system', 'retiring', 'converting', 'natural', 'gas', 'approximately', '2,500', 'mw', 'coal-fueled', 'generation', '2000', '2018']"
"Environmentally and socially responsible supply chains – Sustainability To meet these challenges, Kering has established a dedicated organization.",1,"['environmentally', 'socially', 'responsible', 'supply', 'chain', 'sustainability', 'meet', 'challenge', 'kering', 'established', 'dedicated', 'organization']"
The average electricity consumption per server operated by the Transformation and Operational Efficiency Department was halved between December 2013 and December 2017 from 0.427kWh/server to 0.214kWh/server.,1,"['average', 'electricity', 'consumption', 'per', 'server', 'operated', 'transformation', 'operational', 'efficiency', 'department', 'halved', 'december', '2013', 'december', '2017', '0.427kwh/server', '0.214kwh/server']"
"For example, they've done a fabulous lighting package that has really brought expenses down.",0,"['example', 'done', 'fabulous', 'lighting', 'package', 'really', 'brought', 'expense']"
"It continued with the double-digit growth in COOLIEF, which I'm very happy with.",0,"['continued', 'double-digit', 'growth', 'coolief', 'happy']"
"The Daiwa Living Companies are also moving into the energy field as a way of expanding their sphere of operations, and hope to harness this toward the goal of providing more comfortable daily lives for rental hous- ing tenants.",0,"['daiwa', 'living', 'company', 'also', 'moving', 'energy', 'field', 'way', 'expanding', 'sphere', 'operation', 'hope', 'harness', 'toward', 'goal', 'providing', 'comfortable', 'daily', 'life', 'rental', 'hous-', 'ing', 'tenant']"
"The first of which was an engine plant expansion, which came in onboard on Q1.",0,"['first', 'engine', 'plant', 'expansion', 'came', 'onboard', 'q1']"
"These include a loss of jobs at the fossil-fueled plants and in the broader economy, tax payments that support public services, including education, and economic activity that is supported by the plant’s ecosystem.",0,"['include', 'loss', 'job', 'fossil-fueled', 'plant', 'broader', 'economy', 'tax', 'payment', 'support', 'public', 'service', 'including', 'education', 'economic', 'activity', 'supported', 'plant', 'ecosystem']"
Not -- there is not a silver bullet for what the changes in gross margin will be.,0,"['silver', 'bullet', 'change', 'gross', 'margin']"
"In September 2020, BBVA, together with other financial institutions, published a joint methodology to align its credit portfolios with the objectives of the Paris Agreement on climate change.",1,"['september', '2020', 'bbva', 'together', 'financial', 'institution', 'published', 'joint', 'methodology', 'align', 'credit', 'portfolio', 'objective', 'paris', 'agreement', 'climate', 'change']"
"So we are seeing a lot of opportunities there, where we have been designing to electric buses, e-bike chargers and scooters and so on.",0,"['seeing', 'lot', 'opportunity', 'designing', 'electric', 'bus', 'e-bike', 'charger', 'scooter']"
TOTAL performs sensitivity tests to assess the ability of its asset portfolio to withstand an increase in the price per ton of CO2.,0,"['total', 'performs', 'sensitivity', 'test', 'ass', 'ability', 'asset', 'portfolio', 'withstand', 'increase', 'price', 'per', 'ton', 'co2']"
And that's honestly most markets in the U.S. So that is a fact that we think there is opportunity for us to bring some tuck-in acquisitions that help us get to our goal of 70% and beyond.,0,"['honestly', 'market', 'u.s.', 'fact', 'think', 'opportunity', 'u', 'bring', 'tuck-in', 'acquisition', 'help', 'u', 'get', 'goal', '70', 'beyond']"
"And then your second question, on the concession, the growth in the concession per cap in Q4, as has been the case throughout this year, there's really three buckets to that increase.",0,"['second', 'question', 'concession', 'growth', 'concession', 'per', 'cap', 'q4', 'case', 'throughout', 'year', 'really', 'three', 'bucket', 'increase']"
These positions are only included in the liquidity risk calculation after applying conservative discounts.,0,"['position', 'included', 'liquidity', 'risk', 'calculation', 'applying', 'conservative', 'discount']"
We're committed to making sure that our expenses are flat to last year.,0,"['committed', 'making', 'sure', 'expense', 'flat', 'last', 'year']"
"They have until January 21 to set new rates, if they choose to take that long.",0,"['january', '21', 'set', 'new', 'rate', 'choose', 'take', 'long']"
Our thermal power plants Broadly based generation portfolio forms an essential mainstay of the electricity system provide the necessary system services to compensate for the fluctuating feed-in from wind and photovoltaic systems (PV).,0,"['thermal', 'power', 'plant', 'broadly', 'based', 'generation', 'portfolio', 'form', 'essential', 'mainstay', 'electricity', 'system', 'provide', 'necessary', 'system', 'service', 'compensate', 'fluctuating', 'feed-in', 'wind', 'photovoltaic', 'system', 'pv']"
This COP 20.4 billion investment was also a contribution to the reactivation of the textile industry in our country.,0,"['cop', '20.4', 'billion', 'investment', 'also', 'contribution', 'reactivation', 'textile', 'industry', 'country']"
"Such roads would make allowance for users and their varied means of transport, and would themselves be sources of energy or information.",0,"['road', 'would', 'make', 'allowance', 'user', 'varied', 'mean', 'transport', 'would', 'source', 'energy', 'information']"
"(2) GW of green energy assets reflect 100% generating capacity of each asset, not the proportion owned/managed by Macquarie.",0,"['2', 'gw', 'green', 'energy', 'asset', 'reflect', '100', 'generating', 'capacity', 'asset', 'proportion', 'owned/managed', 'macquarie']"
"CGD S.A. In 2018, CGD set the goal of reducing its total GHG emissions (scope 1 and 2) by 43% by 2021, compared to 2015.",1,"['cgd', 's.a.', '2018', 'cgd', 'set', 'goal', 'reducing', 'total', 'ghg', 'emission', 'scope', '1', '2', '43', '2021', 'compared', '2015']"
This evolution will have a significant impact on the reduction of the company’s carbon footprint.,1,"['evolution', 'significant', 'impact', 'reduction', 'company', 'carbon', 'footprint']"
"This process is a game changer for our industry, making carbon emissions-free aluminium production a genuine possibility.",1,"['process', 'game', 'changer', 'industry', 'making', 'carbon', 'emissions-free', 'aluminium', 'production', 'genuine', 'possibility']"
We advocated for and supported the UK Government’s ban on new petrol and diesel cars and light vehicles from 2030.,1,"['advocated', 'supported', 'uk', 'government', 'ban', 'new', 'petrol', 'diesel', 'car', 'light', 'vehicle', '2030']"
"Under the criteria used by the rating agencies, ratings assigned to Brazilian financial institutions, including Itaú Unibanco, are constrained by the grades assigned to the Brazilian sovereign rating.",0,"['criterion', 'used', 'rating', 'agency', 'rating', 'assigned', 'brazilian', 'financial', 'institution', 'including', 'itaú', 'unibanco', 'constrained', 'grade', 'assigned', 'brazilian', 'sovereign', 'rating']"
"Well in a -- that's somewhat somber but, nevertheless, realistic sense, something like Remodulin is a luxury good for people with pulmonary hypertension because it is an advanced therapy, it's pricey therapy.",0,"['well', 'somewhat', 'somber', 'nevertheless', 'realistic', 'sense', 'something', 'like', 'remodulin', 'luxury', 'good', 'people', 'pulmonary', 'hypertension', 'advanced', 'therapy', 'pricey', 'therapy']"
"Through the creation of value, the Yokogawa Group has the broader aim of benefiting society by addressing environmental and other issues in the industries that it serves.",1,"['creation', 'value', 'yokogawa', 'group', 'broader', 'aim', 'benefiting', 'society', 'addressing', 'environmental', 'issue', 'industry', 'serf']"
"IAG is committed to mitigating the impacts of hazards which have uncertain but potentially highly negative outcomes, on the environment or people, if they occur.",1,"['iag', 'committed', 'mitigating', 'impact', 'hazard', 'uncertain', 'potentially', 'highly', 'negative', 'outcome', 'environment', 'people', 'occur']"
"Awards In 2017/18, National Grid won UK Business in the Community’s Award for Environmental Leadership in recognition of our work to reduce our carbon footprint during construction.",1,"['award', '2017/18', 'national', 'grid', 'uk', 'business', 'community', 'award', 'environmental', 'leadership', 'recognition', 'work', 'reduce', 'carbon', 'footprint', 'construction']"
RUSAL submits regular GHG emission reports from its productions to the Russian Meteorological Office to register emissions in the National Cadastre of Anthro- pogenic Emissions from Sources and Absorption by GHG sinks.,0,"['rusal', 'submits', 'regular', 'ghg', 'emission', 'report', 'production', 'russian', 'meteorological', 'office', 'register', 'emission', 'national', 'cadastre', 'anthro-', 'pogenic', 'emission', 'source', 'absorption', 'ghg', 'sink']"
"C and D batteries are performing quite well for us, we're delighted with progress we're making on rebuild of the A battery, and are confident in what will be a good campaign here in 2019.",0,"['c', 'battery', 'performing', 'quite', 'well', 'u', 'delighted', 'progress', 'making', 'rebuild', 'battery', 'confident', 'good', 'campaign', '2019']"
The way we to think about it is we are rolling out our new 65-nanometer low-density products here at the end of Q4 and right through the first half of next year.,0,"['way', 'think', 'rolling', 'new', '65-nanometer', 'low-density', 'product', 'end', 'q4', 'right', 'first', 'half', 'next', 'year']"
So they're going to have to ultimately import probably additional soybean oil or palm oil or canola oil or something to feed the people.,0,"['going', 'ultimately', 'import', 'probably', 'additional', 'soybean', 'oil', 'palm', 'oil', 'canola', 'oil', 'something', 'feed', 'people']"
"In terms of new business lines, EDF is aiming to have a portfolio of 1 million off-grid kits by 2030 and is pursuing the development of new markets such as microgrids, smart grids, storage, hydrogen, mobility, smart cities, etc.,",0,"['term', 'new', 'business', 'line', 'edf', 'aiming', 'portfolio', '1', 'million', 'off-grid', 'kit', '2030', 'pursuing', 'development', 'new', 'market', 'microgrids', 'smart', 'grid', 'storage', 'hydrogen', 'mobility', 'smart', 'city', 'etc.']"
"Strategy remains the same, really, for any of these issues that are in front of us; and that is to represent the interest of our customers, to provide the cleanest, most reliable most economically sensible product available.",0,"['strategy', 'remains', 'really', 'issue', 'front', 'u', 'represent', 'interest', 'customer', 'provide', 'cleanest', 'reliable', 'economically', 'sensible', 'product', 'available']"
"In 2019, a requirement for farms to allow soil regeneration was added to the Standards.",1,"['2019', 'requirement', 'farm', 'allow', 'soil', 'regeneration', 'added', 'standard']"
"Overseas, electric power, Purchased heat energy Japan, renewable energy 3 4 Annual Trend in heavy Water Usage and Discharge as Waste Japan, gas* Japan, oil, etc.*",0,"['overseas', 'electric', 'power', 'purchased', 'heat', 'energy', 'japan', 'renewable', 'energy', '3', '4', 'annual', 'trend', 'heavy', 'water', 'usage', 'discharge', 'waste', 'japan', 'gas', 'japan', 'oil', 'etc']"
"Disposals On 18 December 2020, the Group completed the sale of a 12% interest in the Grosvenor mine (Metallurgical Coal) for $0.2 billion, equalising the ownership across its integrated operations at Moranbah North and Grosvenor.",0,"['disposal', '18', 'december', '2020', 'group', 'completed', 'sale', '12', 'interest', 'grosvenor', 'mine', 'metallurgical', 'coal', '0.2', 'billion', 'equalising', 'ownership', 'across', 'integrated', 'operation', 'moranbah', 'north', 'grosvenor']"
"There is several -- there is like 2 OFS that are basically 100% electric, and they use our pumps.",0,"['several', 'like', '2', 'ofs', 'basically', '100', 'electric', 'use', 'pump']"
Achieving this aim will provide the Group with an attractive portfolio to respond to the growing customer demand for battery-electric and plug-in hybrid vehicles.,0,"['achieving', 'aim', 'provide', 'group', 'attractive', 'portfolio', 'respond', 'growing', 'customer', 'demand', 'battery-electric', 'plug-in', 'hybrid', 'vehicle']"
The CO2 savings achieved in recent years have proved to be much larger than expected.,1,"['co2', 'saving', 'achieved', 'recent', 'year', 'proved', 'much', 'larger', 'expected']"
We may need to more actively show stakeholders the extent to which Konica Minolta was able to grow based on these initiatives.,0,"['may', 'need', 'actively', 'show', 'stakeholder', 'extent', 'konica', 'minolta', 'able', 'grow', 'based', 'initiative']"
"By being environmentally and socially responsible, the Group will continue on its path to achieving excellence and innovative goals.",1,"['environmentally', 'socially', 'responsible', 'group', 'continue', 'path', 'achieving', 'excellence', 'innovative', 'goal']"
We continue to minimise the environmental impacts of our packaging following our 3 Rs principle:,1,"['continue', 'minimise', 'environmental', 'impact', 'packaging', 'following', '3', 'r', 'principle']"
Indeed it is the public sector which has increased its debt.,0,"['indeed', 'public', 'sector', 'increased', 'debt']"
"And we've said in the past, 80% to 85%, I would say we're at 85% or slightly more that would burn in the next 12 months, with only a little bit of it going beyond that.",0,"['said', 'past', '80', '85', 'would', 'say', '85', 'slightly', 'would', 'burn', 'next', '12', 'month', 'little', 'bit', 'going', 'beyond']"
"Sao Paulo state does not have a good potential for wind power and also only a small remaining potential for hydro projects, directing the new increase in the state for thermal capacity.",0,"['sao', 'paulo', 'state', 'good', 'potential', 'wind', 'power', 'also', 'small', 'remaining', 'potential', 'hydro', 'project', 'directing', 'new', 'increase', 'state', 'thermal', 'capacity']"
"Again, offering them better energy efficiency and space savings or other functions on the board.",0,"['offering', 'better', 'energy', 'efficiency', 'space', 'saving', 'function', 'board']"
We are developing new solutions that meet increasing customer demand for 24/7 renewable power and greater energy efficiency.,1,"['developing', 'new', 'solution', 'meet', 'increasing', 'customer', 'demand', '24/7', 'renewable', 'power', 'greater', 'energy', 'efficiency']"
